family,rate,iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
ldpc+mtr1d,0.9010416666666669,0.0,14.0,339,500,3567,16384830,902.261481,0.678,0.00021770137377073793,
ldpc+mtr1d,0.9010416666666669,0.0,15.0,78,500,610,16384830,448.930939,0.156,3.722955929356606e-05,
ldpc+mtr1d,0.9010416666666669,0.0,16.0,33,1500,296,49154490,311.016618,0.022,6.0218303556806306e-06,
ldpc+mtr1d,0.9010416666666669,0.0,16.5,7,1000,40,32769660,115.201234,0.007,1.2206412883136413e-06,
ldpc+mtr1d,0.9010416666666669,0.0,17.0,5,1500,21,49154490,153.398451,0.0033333333333333335,4.2722445090977446e-07,
ldpc+mtr1d,0.9010416666666669,0.0,17.5,0,1000,0,32769660,75.448644,0.0,0.0,0.003
ldpc+mtr1d,0.9010416666666669,0.0,18.0,0,1500,0,49154490,117.93081000000001,0.0,0.0,0.002
ldpc+mtr1d,0.9010416666666669,0.0,18.5,0,1000,0,32769660,81.306534,0.0,0.0,0.003
ldpc+mtr1d,0.9010416666666669,0.0,19.0,0,500,0,16384830,41.174053,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.0,20.0,0,500,0,16384830,40.872992,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.0,21.0,0,500,0,16384830,40.941499,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.0,22.0,0,500,0,16384830,40.924713,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.2,20.0,414,500,5427,16384830,909.564294,0.828,0.0003312210135839066,
ldpc+mtr1d,0.9010416666666669,0.2,22.0,153,1500,1038,49154490,868.461583,0.102,2.1117094287825995e-05,
ldpc+mtr1d,0.9010416666666669,0.2,22.25,59,1000,522,32769660,403.726288,0.059,1.592936881249302e-05,
ldpc+mtr1d,0.9010416666666669,0.2,22.5,32,1000,234,32769660,273.028666,0.032,7.140751536634802e-06,
ldpc+mtr1d,0.9010416666666669,0.2,22.75,36,1000,298,32769660,282.30175,0.036,9.093777597936629e-06,
ldpc+mtr1d,0.9010416666666669,0.2,23.0,17,1000,109,32769660,159.364468,0.017,3.326247510654673e-06,
ldpc+mtr1d,0.9010416666666669,0.2,23.25,6,1000,89,32769660,109.933286,0.006,2.715926866497852e-06,
ldpc+mtr1d,0.9010416666666669,0.2,23.5,4,1000,27,32769660,97.801447,0.004,8.239328696117079e-07,
ldpc+mtr1d,0.9010416666666669,0.2,23.75,1,1000,10,32769660,86.706725,0.001,3.0516032207841033e-07,
ldpc+mtr1d,0.9010416666666669,0.2,24.0,1,1500,5,49154490,129.795893,0.0006666666666666666,1.0172010735947011e-07,
ldpc+mtr1d,0.9010416666666669,0.2,26.0,0,500,0,16384830,41.338921,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.2,28.0,0,500,0,16384830,42.033223,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.2,30.0,0,500,0,16384830,41.629845,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.2,32.0,0,500,0,16384830,41.246717,0.0,0.0,0.006
ldpc+mtr1d,0.9010416666666669,0.2,34.0,0,500,0,16384830,40.50904,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.0,8.0,10000,10000,37357400,327731200,18340.531555,1.0,0.11398792669114201,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,10.0,10000,10000,10243794,327731200,18980.672262,1.0,0.03125669451062334,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,12.0,10000,10000,1040566,327731200,18824.501982,1.0,0.003175059316903609,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,14.0,7303,10500,76153,344117760,19526.567127,0.6955238095238095,0.00022129924360776961,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,15.0,104,500,616,16386560,560.803136,0.208,3.759178253397907e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,16.0,11,500,128,16386560,113.995873,0.022,7.811279487580066e-06,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,17.0,1,500,2,16386560,50.896963,0.002,1.2205124199343853e-07,
ldpc+mtr2d_8x2,0.9010416666666669,0.0,18.0,0,500,0,16386560,46.470108,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.0,19.0,0,500,0,16386560,45.086551,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.0,20.0,0,500,0,16386560,44.604312,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.0,21.0,0,500,0,16386560,44.521532,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.0,22.0,0,500,0,16386560,44.690375,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.2,8.0,10000,10000,63497617,327731200,18476.810215,1.0,0.1937490754618419,
